,TC
Mar22,3.73862173913043
Abr22,3.74100526315789
May22,3.75727727272727
Jun22,3.74843809523809
Jul22,3.90343684210526
Ago22,3.87355909090909
Sep22,3.89895909090909
Oct22,3.97934761904762
Nov22,3.87657619047619
Dic22,3.828975
Ene23,3.83380476190476
Feb23,3.84146
Mar23,3.77916086956522
Abr23,3.76545
May23,3.68866818181818
Jun23,3.65041904761905
Jul23,3.601255
Ago23,3.69776818181818
Sep23,3.73099523809524
Oct23,3.84575909090909
Nov23,3.76079523809524
Dic23,3.73394210526316
Ene24,3.74074285714286
Feb24,3.8279380952381
Mar24,3.70898947368421
Abr24,3.71503181818182
May24,3.73172727272727
Jun24,3.7867052631579
Jul24,3.764135
Ago24,3.74185
Sep24,3.7689619047619
Oct24,3.75436363636364
Nov24,3.779135
Dic24,3.73553684210526
